site_code,d,gender,age_groups,vehicle_types
TANG-BODE-001,2025-11-01,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-02,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-03,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-04,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-05,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-06,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-07,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-08,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-09,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
TANG-BODE-001,2025-11-10,"{""male"": 59, ""female"": 41}","[{""label"": ""18-24"", ""value"": 14}, {""label"": ""25-34"", ""value"": 35}, {""label"": ""35-44"", ""value"": 29}, {""label"": ""45-54"", ""value"": 11}, {""label"": ""55+"", ""value"": 11}]","{""motorcycle"": 62, ""car"": 32, ""bus"": 5, ""truck"": 1}"
