site_code,ts_hour,volume
TANG-BODE-001,2025-11-01 00:00:00,858
TANG-BODE-001,2025-11-01 01:00:00,694
TANG-BODE-001,2025-11-01 02:00:00,675
TANG-BODE-001,2025-11-01 03:00:00,863
TANG-BODE-001,2025-11-01 04:00:00,1105
TANG-BODE-001,2025-11-01 05:00:00,1271
TANG-BODE-001,2025-11-01 06:00:00,4369
TANG-BODE-001,2025-11-01 07:00:00,8391
TANG-BODE-001,2025-11-01 08:00:00,8246
TANG-BODE-001,2025-11-01 09:00:00,8508
TANG-BODE-001,2025-11-01 10:00:00,6521
TANG-BODE-001,2025-11-01 11:00:00,5062
TANG-BODE-001,2025-11-01 12:00:00,4717
TANG-BODE-001,2025-11-01 13:00:00,4848
TANG-BODE-001,2025-11-01 14:00:00,5553
TANG-BODE-001,2025-11-01 15:00:00,6661
TANG-BODE-001,2025-11-01 16:00:00,8541
TANG-BODE-001,2025-11-01 17:00:00,9483
TANG-BODE-001,2025-11-01 18:00:00,8082
TANG-BODE-001,2025-11-01 19:00:00,6340
TANG-BODE-001,2025-11-01 20:00:00,5372
TANG-BODE-001,2025-11-01 21:00:00,4024
TANG-BODE-001,2025-11-01 22:00:00,2062
TANG-BODE-001,2025-11-01 23:00:00,1019
TANG-BODE-001,2025-11-02 00:00:00,760
TANG-BODE-001,2025-11-02 01:00:00,680
TANG-BODE-001,2025-11-02 02:00:00,645
TANG-BODE-001,2025-11-02 03:00:00,759
TANG-BODE-001,2025-11-02 04:00:00,1078
TANG-BODE-001,2025-11-02 05:00:00,1149
TANG-BODE-001,2025-11-02 06:00:00,4340
TANG-BODE-001,2025-11-02 07:00:00,8276
TANG-BODE-001,2025-11-02 08:00:00,9608
TANG-BODE-001,2025-11-02 09:00:00,7982
TANG-BODE-001,2025-11-02 10:00:00,6764
TANG-BODE-001,2025-11-02 11:00:00,5204
TANG-BODE-001,2025-11-02 12:00:00,4509
TANG-BODE-001,2025-11-02 13:00:00,4332
TANG-BODE-001,2025-11-02 14:00:00,4887
TANG-BODE-001,2025-11-02 15:00:00,6482
TANG-BODE-001,2025-11-02 16:00:00,6679
TANG-BODE-001,2025-11-02 17:00:00,9392
TANG-BODE-001,2025-11-02 18:00:00,7853
TANG-BODE-001,2025-11-02 19:00:00,7418
TANG-BODE-001,2025-11-02 20:00:00,5228
TANG-BODE-001,2025-11-02 21:00:00,4049
TANG-BODE-001,2025-11-02 22:00:00,2039
TANG-BODE-001,2025-11-02 23:00:00,982
TANG-BODE-001,2025-11-03 00:00:00,893
TANG-BODE-001,2025-11-03 01:00:00,705
TANG-BODE-001,2025-11-03 02:00:00,671
TANG-BODE-001,2025-11-03 03:00:00,803
TANG-BODE-001,2025-11-03 04:00:00,1318
TANG-BODE-001,2025-11-03 05:00:00,1586
TANG-BODE-001,2025-11-03 06:00:00,5120
TANG-BODE-001,2025-11-03 07:00:00,9352
TANG-BODE-001,2025-11-03 08:00:00,10022
TANG-BODE-001,2025-11-03 09:00:00,9688
TANG-BODE-001,2025-11-03 10:00:00,7340
TANG-BODE-001,2025-11-03 11:00:00,5936
TANG-BODE-001,2025-11-03 12:00:00,5872
TANG-BODE-001,2025-11-03 13:00:00,5351
TANG-BODE-001,2025-11-03 14:00:00,6330
TANG-BODE-001,2025-11-03 15:00:00,6592
TANG-BODE-001,2025-11-03 16:00:00,7384
TANG-BODE-001,2025-11-03 17:00:00,9310
TANG-BODE-001,2025-11-03 18:00:00,10352
TANG-BODE-001,2025-11-03 19:00:00,8794
TANG-BODE-001,2025-11-03 20:00:00,5734
TANG-BODE-001,2025-11-03 21:00:00,4530
TANG-BODE-001,2025-11-03 22:00:00,2522
TANG-BODE-001,2025-11-03 23:00:00,1082
TANG-BODE-001,2025-11-04 00:00:00,847
TANG-BODE-001,2025-11-04 01:00:00,774
TANG-BODE-001,2025-11-04 02:00:00,728
TANG-BODE-001,2025-11-04 03:00:00,894
TANG-BODE-001,2025-11-04 04:00:00,1329
TANG-BODE-001,2025-11-04 05:00:00,1521
